+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  | Tsym,ms |Tpream,ms|Tframe,ms|
| 241 | 2048  |  7.81 |4/5 |   33.6 |    4.2 |  262.2 | 3212.3 |66933.7 |
| 242 | 2048  |  7.81 |4/6 |   28.0 |    3.5 |  262.2 | 3212.3 |79258.4 |
| 243 | 2048  |  7.81 |4/7 |   24.0 |    3.0 |  262.2 | 3212.3 |91583.1 |
| 244 | 2048  |  7.81 |4/8 |   21.0 |    2.6 |  262.2 | 3212.3 |103907.8 |
| 245 | 2048  | 15.63 |4/5 |   67.2 |    8.4 |  131.0 | 1605.1 |33445.4 |
| 246 | 2048  | 15.63 |4/6 |   56.0 |    7.0 |  131.0 | 1605.1 |39603.8 |
| 247 | 2048  | 15.63 |4/7 |   48.0 |    6.0 |  131.0 | 1605.1 |45762.3 |
| 248 | 2048  | 15.63 |4/8 |   42.0 |    5.2 |  131.0 | 1605.1 |51920.7 |
| 249 | 2048  | 31.25 |4/5 |  134.3 |   16.8 |   65.5 |  802.8 |16728.1 |
| 250 | 2048  | 31.25 |4/6 |  111.9 |   14.0 |   65.5 |  802.8 |19808.3 |
| 251 | 2048  | 31.25 |4/7 |   95.9 |   12.0 |   65.5 |  802.8 |22888.4 |
| 252 | 2048  | 31.25 |4/8 |   83.9 |   10.5 |   65.5 |  802.8 |25968.6 |
| 253 | 2048  | 62.50 |4/5 |  268.6 |   33.6 |   32.8 |  401.4 | 8364.0 |
| 254 | 2048  | 62.50 |4/6 |  223.8 |   28.0 |   32.8 |  401.4 | 9904.1 |
| 255 | 2048  | 62.50 |4/7 |  191.8 |   24.0 |   32.8 |  401.4 |11444.2 |
| 256 | 2048  | 62.50 |4/8 |  167.8 |   21.0 |   32.8 |  401.4 |12984.3 |
| 257 | 2048  |125.00 |4/5 |  537.1 |   67.1 |   16.4 |  200.7 | 4182.0 |
| 258 | 2048  |125.00 |4/6 |  447.6 |   55.9 |   16.4 |  200.7 | 4952.1 |
| 259 | 2048  |125.00 |4/7 |  383.6 |   48.0 |   16.4 |  200.7 | 5722.1 |
